@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-2,5-12,17-18'

@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
4,3,29,26,12,-1,10,2,12,319,1,False,False,True,False,10,4,1,9,1979,South,South,2078
4,3,30,27,11,-1,10,1,11,318,1,False,False,True,True,11,3,1,1,2078,South,South,2177
4,3,31,28,10,-1,10,0,10,317,1,False,False,True,False,12,2,1,9,2177,South,South,2276
4,3,30,27,9,-1,9,0,9,316,1,True,False,False,False,1,2,2,8,2276,South,West,2375
4,3,29,26,8,-1,8,0,8,315,1,False,False,False,False,12,2,3,7,2375,West,West,2474
4,3,28,25,7,-1,7,0,7,314,1,False,False,False,False,11,2,4,6,2474,West,West,2573
4,3,27,24,6,-1,6,0,6,313,1,True,False,False,False,1,2,5,5,2573,West,West,2672
4,3,26,23,5,-1,5,0,5,312,1,False,False,False,False,14,2,6,4,2672,West,West,2771
4,3,25,22,4,-1,4,0,4,311,1,False,False,False,False,9,2,7,3,2771,West,West,2870
4,3,24,21,3,-1,3,0,3,310,1,True,False,False,False,1,2,8,2,2870,West,West,2969
4,3,23,20,2,-1,2,0,2,309,1,False,False,False,True,5,2,9,1,2969,West,West,3068
4,3,24,21,3,-1,2,1,3,308,1,False,True,False,False,6,1,9,20,3068,West,South,3167
4,3,23,20,2,-1,1,1,2,307,1,True,True,False,False,1,1,10,19,3167,South,West,3266
4,3,22,19,1,-1,0,1,1,306,1,False,True,False,False,2,1,11,18,3266,West,West,3465
4,2,21,18,-1,-1,16,2,18,306,1,True,False,True,False,1,2,1,18,3465,West,North,3564
4,2,20,17,-1,-1,15,2,17,305,1,False,False,False,False,14,2,2,17,3564,North,West,3663
4,2,19,16,-1,-1,14,2,16,304,1,False,False,False,False,14,2,3,16,3663,West,West,3762
4,2,18,15,-1,-1,13,2,15,303,1,True,False,False,False,1,2,4,15,3762,West,West,3861
4,2,17,14,-1,-1,12,2,14,302,1,False,False,False,False,14,2,5,14,3861,West,West,3960
4,2,16,13,-1,-1,11,2,13,301,1,False,False,False,False,14,2,6,13,3960,West,West,4059
4,2,15,12,-1,-1,10,2,12,300,1,True,False,False,False,1,2,7,12,4059,West,West,4158
4,2,14,11,-1,-1,9,2,11,299,1,False,False,False,False,7,2,8,11,4158,West,West,4257
4,2,13,10,-1,-1,8,2,10,298,1,False,False,False,False,14,2,9,10,4257,West,West,4356
4,2,12,9,-1,-1,7,2,9,297,1,True,False,False,False,1,2,10,9,4356,West,West,4455
4,2,11,8,-1,-1,6,2,8,296,1,False,False,False,False,3,2,11,8,4455,West,West,4554
4,2,10,7,-1,-1,5,2,7,295,1,False,False,False,False,9,2,12,7,4554,West,West,4653
4,2,9,6,-1,-1,4,2,6,294,1,True,False,False,False,1,2,13,6,4653,West,West,4752
4,2,8,5,-1,-1,3,2,5,293,1,False,False,False,False,9,2,14,5,4752,West,West,4851
4,2,7,4,-1,-1,2,2,4,292,1,False,False,False,False,9,2,15,4,4851,West,West,4950
4,2,6,3,-1,-1,1,2,3,291,1,True,False,False,False,1,2,16,3,4950,West,West,5049
4,2,5,2,-1,-1,0,2,2,290,1,False,False,False,False,14,2,17,2,5049,West,West,5148
4,2,4,1,-1,-1,0,1,1,289,1,False,False,True,False,13,3,1,2,5148,West,North,5347
4,1,3,-1,-1,-1,1,2,3,289,1,False,False,True,False,12,4,1,2,5347,North,North,5446
4,1,2,-1,-1,-1,1,1,2,288,1,False,False,True,False,11,5,1,2,5446,North,North,5545
4,4,12,7,4,1,1,0,1,1,7,False,False,False,False,4,9,6,13,-3,North,East,196
4,3,14,7,6,-1,1,5,6,1,6,False,False,False,False,4,9,5,14,196,East,East,195
4,3,12,7,5,-1,1,4,5,1,5,False,False,False,False,5,8,5,9,195,East,South,194
4,3,12,8,3,-1,0,3,3,1,4,False,False,False,False,6,7,5,14,194,South,South,193
4,3,10,8,3,-1,0,3,3,1,5,False,False,False,False,7,6,5,14,193,South,South,192
4,3,10,8,3,-1,0,3,3,1,6,False,False,False,False,8,5,5,14,192,South,South,191
4,3,8,8,3,-1,1,2,3,1,7,False,False,False,False,9,4,5,14,191,South,South,190
4,3,8,10,3,-1,1,2,3,1,8,False,False,False,False,10,3,5,14,190,South,South,189
4,3,7,12,2,-1,1,1,2,1,9,False,False,False,False,11,2,5,14,189,South,South,188
4,3,8,12,2,-1,1,1,2,1,8,False,False,False,False,11,2,4,15,188,South,East,187
4,3,10,14,2,-1,1,1,2,1,9,False,True,False,False,12,1,4,15,187,East,South,186
4,3,11,15,2,-1,0,2,2,1,8,False,True,False,False,12,1,3,16,186,South,East,185
4,3,11,13,2,-1,0,2,2,1,7,False,False,False,False,11,2,3,16,185,East,North,184
4,3,13,13,2,-1,0,2,2,1,6,False,False,False,False,10,3,3,16,184,North,North,183
4,3,15,11,2,-1,0,2,2,1,5,False,False,False,False,9,4,3,16,183,North,North,182
4,3,16,9,2,-1,1,1,2,1,4,False,False,False,False,8,5,3,16,182,North,North,181
4,3,16,9,2,-1,1,1,2,1,3,False,False,False,False,7,6,3,16,181,North,North,180
4,3,14,9,1,-1,0,1,1,1,4,False,False,False,False,7,6,4,15,180,North,West,379
4,2,16,9,-1,-1,7,2,9,1,3,False,False,False,False,6,7,4,15,379,West,North,378
4,2,17,10,-1,-1,7,3,10,1,4,False,False,False,False,5,8,4,10,378,North,North,377
4,2,16,8,-1,-1,6,2,8,1,5,False,False,False,False,5,8,5,9,377,North,West,376
