@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-2,5-12,17-18'

@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
4,4,6,7,8,9,2,4,6,109,1,False,False,False,False,9,3,8,4,495,North,North,594
4,4,5,6,7,8,2,3,5,108,1,False,False,True,False,8,4,1,4,594,North,North,693
4,4,4,5,6,7,2,2,4,107,1,False,False,True,False,7,5,1,4,693,North,North,792
4,4,3,4,5,6,2,1,3,106,1,False,False,True,False,6,6,1,4,792,North,North,891
4,4,2,3,4,5,2,0,2,105,1,False,False,False,False,5,7,6,6,891,North,North,890
4,4,1,2,3,4,1,0,1,105,2,True,True,False,False,1,1,5,7,890,North,East,1089
4,3,-1,1,2,3,1,0,1,105,3,True,True,False,False,1,1,4,8,1089,East,East,1288
4,2,-1,-1,1,2,1,0,1,105,2,False,True,False,False,5,1,3,9,1288,East,East,1487
4,4,27,28,14,20,1,13,14,336,1,True,False,False,True,1,11,2,1,99,Stop,West,198
4,4,26,27,13,19,1,12,13,335,1,False,False,False,False,2,10,3,4,198,West,South,297
4,4,25,26,12,20,0,12,12,334,1,True,True,False,False,1,1,4,3,297,South,West,396
4,4,24,25,13,21,1,12,13,333,1,False,False,False,False,2,14,5,2,396,West,West,495
4,4,23,24,12,20,1,11,12,332,1,False,False,True,False,3,13,1,5,495,West,South,594
4,4,22,23,11,19,1,10,11,331,1,False,False,True,False,4,12,1,2,594,South,South,693
4,4,21,22,10,18,1,9,10,330,1,False,False,False,False,5,11,5,6,693,South,South,792
4,4,20,21,9,17,1,8,9,329,1,False,False,True,False,6,10,1,2,792,South,South,891
4,4,19,20,8,16,1,7,8,328,1,False,False,False,False,7,9,12,6,891,South,South,990
4,4,18,19,7,15,1,6,7,327,1,False,False,True,False,8,8,1,2,990,South,South,1089
4,4,17,18,6,14,1,5,6,326,1,False,False,False,False,9,7,3,17,1089,South,South,1188
4,4,16,17,5,13,1,4,5,325,1,False,False,True,False,10,6,1,2,1188,South,South,1287
4,4,17,16,4,12,1,3,4,324,1,False,False,False,False,11,5,12,9,1287,South,South,1386
4,4,18,15,3,11,1,2,3,323,1,False,False,False,False,12,4,2,14,1386,South,South,1485
4,4,19,16,2,12,1,1,2,322,1,False,False,True,False,13,3,1,2,1485,South,South,1584
4,4,20,17,1,13,1,0,1,321,1,False,False,False,False,14,2,2,17,1584,South,South,1783
4,3,21,18,-1,12,10,2,12,321,1,True,False,True,False,1,2,1,18,1783,South,East,1882
4,3,22,19,-1,13,10,3,13,320,1,False,True,False,False,2,1,11,18,1882,East,South,1981
4,3,23,20,-1,12,9,3,12,319,1,True,True,False,False,1,1,10,19,1981,South,East,2080
4,3,24,21,-1,11,8,3,11,318,1,False,True,False,False,6,1,9,20,2080,East,East,2179
4,3,25,22,-1,10,7,3,10,317,1,False,True,False,False,2,1,8,21,2179,East,East,2278
