@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R13-16,19-21,28-31-weka.filters.unsupervised.attribute.Remove-R16'

@attribute columna_pacman numeric
@attribute fila_pacman numeric
@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute columna_fantasma_1 numeric
@attribute fila_fantasma_1 numeric
@attribute columna_fantasma_2 numeric
@attribute fila_fantasma_2 numeric
@attribute columna_fantasma_3 numeric
@attribute fila_fantasma_3 numeric
@attribute columna_fantasma_4 numeric
@attribute fila_fantasma_4 numeric
@attribute columna_fantasma_mas_cercano numeric
@attribute fila_fantasma_mas_cercano numeric
@attribute num_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
21,6,4,2,1,8,2,6,5,1,7,1,2,6,301,False,True,False,False,3962,West,West,4061
20,6,4,2,1,8,2,6,5,1,7,1,2,6,300,False,False,False,True,4061,West,West,4160
20,7,4,2,1,8,2,6,5,1,7,1,2,6,299,False,False,False,False,4160,West,North,4259
19,7,4,2,1,8,2,6,5,1,7,1,2,6,298,False,True,False,False,4259,North,West,4358
18,7,4,2,1,8,2,6,5,1,7,1,2,6,297,True,False,False,False,4358,West,West,4357
17,7,4,2,1,8,2,6,5,1,7,1,2,6,297,False,False,False,False,4357,West,West,4456
16,7,4,2,1,8,2,6,5,1,7,1,2,6,296,False,False,False,False,4456,West,West,4555
15,7,4,2,1,8,2,6,5,1,7,1,2,6,295,True,False,False,False,4555,West,West,4654
14,7,4,2,1,8,2,6,5,1,7,1,2,6,294,False,False,False,False,4654,West,West,4753
13,7,4,2,1,8,2,6,5,1,7,1,2,6,293,False,False,False,False,4753,West,West,4852
12,7,4,2,1,8,2,6,5,1,7,1,2,6,292,True,False,False,False,4852,West,West,4951
11,7,4,2,1,8,2,6,5,1,7,1,2,6,291,False,False,False,False,4951,West,West,5050
10,7,4,2,1,8,2,6,5,1,7,1,2,6,290,False,False,False,False,5050,West,West,5149
10,8,4,2,1,8,2,6,5,1,7,1,1,8,289,False,False,False,True,5149,West,North,5248
10,9,4,2,1,8,2,6,5,1,7,1,1,8,288,False,False,False,False,5248,North,North,5347
9,9,4,2,1,8,2,6,5,1,7,1,1,8,287,True,True,False,False,5347,North,West,5446
8,9,4,2,1,8,2,6,5,1,7,1,1,8,286,False,False,False,False,5446,West,West,5545
7,9,4,2,1,8,2,6,5,1,7,1,1,8,285,False,False,False,False,5545,West,West,5644
6,9,4,2,1,8,2,6,5,1,7,1,1,8,284,True,True,False,False,5644,West,West,5743
5,9,4,2,1,8,2,6,5,1,7,1,1,8,283,False,False,False,False,5743,West,West,5842
4,9,4,2,1,8,2,6,5,1,7,1,1,8,282,False,False,False,False,5842,West,West,5941
3,9,4,2,1,8,2,6,5,1,7,1,1,8,281,True,True,False,False,5941,West,West,6040
2,9,4,2,1,8,2,6,5,1,7,1,1,8,280,False,False,False,False,6040,West,West,6139
1,9,4,2,1,8,2,6,5,1,7,1,1,8,279,False,False,False,True,6139,West,West,6338
1,8,4,1,1,1,2,6,5,1,7,1,2,6,279,False,False,False,True,6338,West,South,6437
2,8,4,1,1,1,2,6,5,1,7,1,2,6,278,False,False,True,False,6437,South,East,6536
13,10,4,4,5,6,6,12,12,6,13,12,13,12,1,False,False,False,False,-1,Stop,East,-2
13,11,4,4,5,5,7,12,12,7,14,12,14,12,1,False,False,False,False,-2,East,North,197
14,11,4,3,5,5,8,12,12,6,7,1,8,12,1,False,False,False,False,197,North,East,196
13,11,4,3,5,4,9,12,12,7,7,1,9,12,1,False,False,False,False,196,East,West,195
12,11,4,3,6,4,10,12,12,6,7,1,10,12,1,False,False,False,False,195,West,West,194
11,11,4,3,7,4,10,12,12,5,7,1,10,12,1,False,False,False,False,194,West,West,193
10,11,4,3,7,5,10,12,13,5,7,1,10,12,1,False,False,False,False,193,West,West,392
10,12,4,2,7,6,3,1,13,4,7,1,7,6,1,False,False,False,False,392,West,North,391
9,12,4,2,7,6,3,1,13,3,7,1,7,6,1,False,False,False,False,391,North,West,390
8,12,4,2,6,6,3,1,14,3,7,1,6,6,1,False,False,False,False,390,West,West,389
7,12,4,2,7,6,3,1,14,4,7,1,7,6,1,False,False,False,False,389,West,West,388
7,11,4,2,6,6,3,1,14,4,7,1,6,6,1,False,False,False,False,388,West,South,387
